Tsalki 100
         1041 9 8.34
         9500 9 7.24
         3478 1 5.62
         7464 9 17.45
         6281 7 6.61
         1491 8 7.42
         5827 1 2.91
         6604 6 3.53
         1292 8 5.21
         1716 9 10.95
         6447 1 16.71
         3538 7 11.12
         8667 2 20.35
         1894 3 12.11
         5322 4 7.73
         5664 4 3.11
         2253 2 10.47
         1644 2 6.57
         3037 8 13.23
         1741 8 9.78
         4316 3 14.9
         2842 1 18.06
         1040 6 4.64
         5648 6 12.05
         7890 7 17.7
         7350 4 9.01
         7393 3 8.29
         4623 1 11.54
         1756 6 13.66
         8376 9 18.08
         8944 4 20.26
         3323 3 8.38
         8118 4 3.29
         8541 1 9.15
         5639 4 20.04
         1930 1 6.06
         5673 4 14.21
         2745 6 2.72
         7270 7 3.77
         7573 4 15.12
         6986 7 17.61
         1636 9 2.67
         6655 5 4.31
         4052 9 13.5
         8941 8 8.66
         4430 4 18.91
         1007 7 4.57
         4287 7 10.83
         6945 9 20.09
         1758 3 16.88
         7422 8 11.06
         5030 7 8.68
         1900 3 18.62
         2655 5 8.59
         1624 9 8.48
         7483 2 4.41
         4602 6 9.91
         4836 6 17.2
         5596 1 9.48
         6199 4 18.84
         9281 1 2.53
         2999 4 15.38
         7900 9 12.27
         1467 3 17.93
         7648 2 9.07
         3421 1 11.17
         5813 2 12.09
         8616 9 5.51
         3600 3 15.19
         5556 2 20.03
         7224 2 3.44
         6609 5 6.02
         4195 2 13.93
         6343 5 17.87
         3314 9 19.48
         8200 4 11.18
         3580 6 16.98
         7281 6 19.98
         2009 5 16.72
         6622 8 10.92
         7038 6 12.9
         3657 3 6.91
         2815 2 3.56
         3511 3 9.34
         7272 4 15.28
         5646 2 12.86
         1875 3 15.69
         3142 4 16.16
         4881 4 10.22
         1651 5 20.99
         4557 1 14.92
         7389 9 14.12
         3600 9 3.03
         9869 6 15.88
         5401 7 2.55
         8423 8 12.85
         7182 8 6.88
         5426 7 11.57
         1832 9 5.69
         3154 9 2.89
